X1,Thai_name,Thai_script,English_name,Image,Region,Description,Description2,major_grouping,minor_grouping
23,Tam mu yo,ตำหมูยอ,,,,"['A spicy Thai salad made with ', 'mu yo', ', a Thai pork sausage which is often also described in Thailand as ""Vietnamese sausage"". The dressing is somewhat similar to that of ', 'som tam', '.\n']","A spicy Thai salad made with  mu yo , a Thai pork sausage which is often also described in Thailand as ""Vietnamese sausage"". The dressing is somewhat similar to that of  som tam .",Shared dishes,Salads
24,Tam phonlamai ruam,ตำผลไม้รวม,,,,"['The fruits used in this particular salad show the fusion aspect of Thai cuisine, as it incorporates ""modern"" (for Thais) fruit such as apples and grapes besides traditional fruit such as pineapple and guava. The dressing is made with pounded garlic, sugar, chili peppers, dried shrimp, lime juice and fish sauce, and is similar to that of ', 'som tam', '.\n']","The fruits used in this particular salad show the fusion aspect of Thai cuisine, as it incorporates ""modern"" (for Thais) fruit such as apples and grapes besides traditional fruit such as pineapple and guava. The dressing is made with pounded garlic, sugar, chili peppers, dried shrimp, lime juice and fish sauce, and is similar to that of  som tam .",Shared dishes,Salads
25,Tam som-o nam pu,ตำส้มโอน้ำปู,,,North,"['It is a spicy ', 'pomelo', ' salad which uses crab extract as a flavouring. This black sauce is achieved by pounding ', 'pu na', ' (""ricefield crabs"", ', 'Somanniathelphusa', ') to a pulp, straining the juices which are then boiled and reduced until the sauce becomes as thick as molasses.\n']","It is a spicy  pomelo  salad which uses crab extract as a flavouring. This black sauce is achieved by pounding  pu na  (""ricefield crabs"",  Somanniathelphusa ) to a pulp, straining the juices which are then boiled and reduced until the sauce becomes as thick as molasses.",Shared dishes,Salads
26,Yam bai cha,ยำใบชา,,,,"['A spicy Thai salad made with young, fresh tea leaves.\n']","A spicy Thai salad made with young, fresh tea leaves.",Shared dishes,Salads
27,Yam hu mu,ยำหูหมู,,,,"[""It is a salad made with thinly sliced, boiled pig's ears, the version in the image also contained fresh mint, lime juice, shallots, lemon grass, fish sauce and sugar.\n""]","It is a salad made with thinly sliced, boiled pig's ears, the version in the image also contained fresh mint, lime juice, shallots, lemon grass, fish sauce and sugar.",Shared dishes,Salads
28,Yam hua pli thot,ยำหัวปลีทอด,,,,['A spicy Thai yam-style salad with deep-fried slices of banana blossom as its main ingredient.\n'],A spicy Thai yam-style salad with deep-fried slices of banana blossom as its main ingredient.,Shared dishes,Salads
29,Yam hoi khraeng,ยำหอยแครง,,,,"['A spicy Thai salad made with ', 'blood cockles', '.\n']",A spicy Thai salad made with  blood cockles .,Shared dishes,Salads
30,Yam khai dao,ยำไข่ดาว,,,,"['A spicy Thai salad made with fried egg (', 'khai dao', ').\n']",A spicy Thai salad made with fried egg ( khai dao ).,Shared dishes,Salads
31,Yam khamin khao kung,ยำขมิ้นขาวกุ้ง,,,,"['A spicy Thai salad made with finely sliced (', 'au Julienne', ') ""white curcuma"" (probably ', 'Curcuma zedoaria', ""), shredded coconut, cooked prawns, sliced shallots, dried chillies, fresh green bird's eye chili peppers, roasted cashew nuts, and crispy fried onion rings.\n""]","A spicy Thai salad made with finely sliced ( au Julienne ) ""white curcuma"" (probably  Curcuma zedoaria ), shredded coconut, cooked prawns, sliced shallots, dried chillies, fresh green bird's eye chili peppers, roasted cashew nuts, and crispy fried onion rings.",Shared dishes,Salads
32,Yam kun chiang,ยำกุนเชียง,,,,"['A Thai salad made with a sweet dried pork sausage called ', 'kun chiang', '. This sausage is of Chinese origin. This dish is often eaten with plain rice congee (', 'khao tom kui', '; ', 'Thai', ': ', 'ข้าวต้มกุ๊ย', ').\n']",A Thai salad made with a sweet dried pork sausage called  kun chiang . This sausage is of Chinese origin. This dish is often eaten with plain rice congee ( khao tom kui ;  Thai :  ข้าวต้มกุ๊ย ).,Shared dishes,Salads
33,Yam mu krop,ยำหมูกรอบ,,,,"['A Thai salad made with crispy belly pork (', 'mu krop', ').\n']",A Thai salad made with crispy belly pork ( mu krop ).,Shared dishes,Salads
34,Yam mu yo,ยำหมูยอ,,,,"['A spicy yam-style Thai salad with ', 'mu yo', ' (', 'Vietnamese sausage', ').\n']",A spicy yam-style Thai salad with  mu yo  ( Vietnamese sausage ).,Shared dishes,Salads
35,Yam mu yo thot khai dao,ยำหมูยอทอดไข่ดาว,,,,"['A spicy Thai salad made with crispy fried ', 'mu yo', ' (Vietnamese sausage) and ', 'khai dao', ' (fried egg).\n']",A spicy Thai salad made with crispy fried  mu yo  (Vietnamese sausage) and  khai dao  (fried egg).,Shared dishes,Salads
36,Yam naem,ยำแหนมสด,,,,"['A Thai salad containing sausage made from fermented raw pork and sticky rice (', 'naem', ' sausage).\n']",A Thai salad containing sausage made from fermented raw pork and sticky rice ( naem  sausage).,Shared dishes,Salads
37,Yam naem khao khot,ยำแหนมข้าวทอด,Thai croquette salad,,,"['A Thai salad made of crumbled, crispy-fried curried rice balls (similar to a spherical croquette), fermented pork sausage, shallots, green chili peppers or dried chili flakes, peanuts, lime juice, fish sauce, and onion.\n']","A Thai salad made of crumbled, crispy-fried curried rice balls (similar to a spherical croquette), fermented pork sausage, shallots, green chili peppers or dried chili flakes, peanuts, lime juice, fish sauce, and onion.",Shared dishes,Salads
38,Yam no mai,ยำหน่อไม้,,,North,"['A Northern Thai salad made with strips of boiled bamboo shoots, shallots, herbs, fish sauce, lime juice, and chili peppers.\n']","A Northern Thai salad made with strips of boiled bamboo shoots, shallots, herbs, fish sauce, lime juice, and chili peppers.",Shared dishes,Salads
39,Yam no mai sai nam pu,ยำหน่อไม้ใส่น้ำปู,,,North,['A northern Thai salad made with boiled bamboo shoots and a thick paste made from the rice paddy crabs.\n'],A northern Thai salad made with boiled bamboo shoots and a thick paste made from the rice paddy crabs.,Shared dishes,Salads
40,Yam nuea yang,ยำเนื้อย่าง,Thai grilled beef salad,,,"['A spicy salad of grilled beef, shallots, and Thai celery or spearmint.\n']","A spicy salad of grilled beef, shallots, and Thai celery or spearmint.",Shared dishes,Salads
41,Yam phak khut,ยำผักกูด,,,,"['A salad of edible fern shoots (', 'Diplazium esculentum', ') and pork.\n']",A salad of edible fern shoots ( Diplazium esculentum ) and pork.,Shared dishes,Salads
42,Yam pla duk fu,ยำปลาดุกฟู,"""Exploded"" catfish salad",,,"['Crispy fried shredded ', 'pla duk', ' (catfish) served with a spicy and tangy green mango salad.\n']",Crispy fried shredded  pla duk  (catfish) served with a spicy and tangy green mango salad.,Shared dishes,Salads
43,Yam pla khem,ยำปลาเค็ม,,,,"['A Thai salad (', 'yam', ') made with fried sun-dried salted fish (', 'pla khem', ').\n']",A Thai salad ( yam ) made with fried sun-dried salted fish ( pla khem ).,Shared dishes,Salads
44,Yam pla salit,ยำปลาสลิด,,,,"['A Thai salad made with deep-fried, sun-dried snakeskin gourami..\n']","A Thai salad made with deep-fried, sun-dried snakeskin gourami..",Shared dishes,Salads
45,Yam pla thu,ยำปลาทู,,,,"['Made with ', 'short mackerel', ' (', 'pla thu', ').\n']",Made with  short mackerel  ( pla thu ).,Shared dishes,Salads
46,Yam sanat,ยำสะนัด,,,North,"['A northern Thai salad of roughly chopped, blanched vegetables that are then refried with a chilli paste. It is served here together with northern Thai ', 'pork cracklings', ' and deep-fried, sun-dried chili peppers.\n']","A northern Thai salad of roughly chopped, blanched vegetables that are then refried with a chilli paste. It is served here together with northern Thai  pork cracklings  and deep-fried, sun-dried chili peppers.",Shared dishes,Salads
47,Yam som-o,ยำส้มโอ,,,,"[""A salad made with pomelo. The other ingredients are: sliced red bird's eye chili peppers, deep-fried sun-dried anchovies, roasted peanuts, fish sauce and tamarind juice.\n""]","A salad made with pomelo. The other ingredients are: sliced red bird's eye chili peppers, deep-fried sun-dried anchovies, roasted peanuts, fish sauce and tamarind juice.",Shared dishes,Salads
48,Yam takhrai kung sot,ยำตะไคร้กุ้งสด,,,,"['A spicy ""yam-style"" salad with finely sliced raw lemongrass and prawns.\n']","A spicy ""yam-style"" salad with finely sliced raw lemongrass and prawns.",Shared dishes,Salads
49,Yam thale,ยำทะเล,,,,"['A spicy salad with mixed seafood (cuttlefish, shelled prawns, mussels), shallots, lime juice, fish sauce and Thai celery.\n']","A spicy salad with mixed seafood (cuttlefish, shelled prawns, mussels), shallots, lime juice, fish sauce and Thai celery.",Shared dishes,Salads
50,Yam thua phu,ยำถั่วพู,,,,"['A Thai salad with winged beans, salted eggs, toasted coconut, shallots, fish sauce, lime juice and chillies. The version in this image also contains squid.\n']","A Thai salad with winged beans, salted eggs, toasted coconut, shallots, fish sauce, lime juice and chillies. The version in this image also contains squid.",Shared dishes,Salads
51,Yam wun sen,ยำวุ้นเส้น,Thai glass noodle salad,,,"['A spicy salad with glass noodles (', 'cellophane noodles', '), minced chicken or pork and often either mixed seafood, squid or prawns. ', 'Cloud ear fungus', ' also often features in this dish.\n']","A spicy salad with glass noodles ( cellophane noodles ), minced chicken or pork and often either mixed seafood, squid or prawns.  Cloud ear fungus  also often features in this dish.",Shared dishes,Salads
0,Kai phat khing,ไก่ผัดขิง,Stir-fired sliced ginger with chicken,,Central,"['A simple dish of fried slices of chicken with sliced ginger, soy sauce, fish sauce, and chili peppers.\n']","A simple dish of fried slices of chicken with sliced ginger, soy sauce, fish sauce, and chili peppers.",Shared dishes,Fried and stir-fried dishes
1,Kai phat met mamuang himmaphan,ไก่ผัดเม็ดมะม่วงหิมพานต์,Sitr-fried chicken with cashew nuts,,Central,"['The ', 'Thai Chinese', ' version of the ', 'Sichuan', ' style fried chicken with cashew nuts known as ', 'Kung Pao chicken', ', stir-fried with whole dried chili peppers.\n']","The  Thai Chinese  version of the  Sichuan  style fried chicken with cashew nuts known as  Kung Pao chicken , stir-fried with whole dried chili peppers.",Shared dishes,Fried and stir-fried dishes
2,Khai yat sai,ไข่ยัดไส้,Stuffed omelette,,,"['An omelette is fried filled with various ingredients of choice (minced beef or pork, prawns, and vegetables) and then folded over.\n']","An omelette is fried filled with various ingredients of choice (minced beef or pork, prawns, and vegetables) and then folded over.",Shared dishes,Fried and stir-fried dishes
3,Khua chin som sai khai,คั่วจิ๊นส้มใส่ไข่,,,North,['Northern Thai pickled pork stir-fried with egg.\n'],Northern Thai pickled pork stir-fried with egg.,Shared dishes,Fried and stir-fried dishes
4,Khua ho,คั่วห่อ,,,North,"['Glass noodles', ' are stir-fried with left-overs from other dishes. Unlike ', 'kaeng ho', ', this dish will not contain any left-over curry dishes. It was traditionally eaten at the end of a ceremony or festival. It is served here with pork rinds.\n']","Glass noodles  are stir-fried with left-overs from other dishes. Unlike  kaeng ho , this dish will not contain any left-over curry dishes. It was traditionally eaten at the end of a ceremony or festival. It is served here with pork rinds.",Shared dishes,Fried and stir-fried dishes
5,Khua no mai sai mu,คั่วหน่อไม้ใส่หมู,,,North,"['Stir-fried bamboo shoots with pork. In this particular version, the pork is minced.\n']","Stir-fried bamboo shoots with pork. In this particular version, the pork is minced.",Shared dishes,Fried and stir-fried dishes
6,Kaphrao hoi lai,กะเพราหอยลาย,Stir-fried baby clams with thai holy basil,,,"['Undulated surf clam stir-fried with holy basil (', 'Ocimum tenuiflorum', ')\n']",Undulated surf clam stir-fried with holy basil ( Ocimum tenuiflorum ),Shared dishes,Fried and stir-fried dishes
7,Khai luk khoei,ไข่ลูกเขย,,,,"['Boiled eggs are (deep-)fried until crispy on the outside, and then served sliced with a tangy sauce made from tamarind juice. The Thai name literally translates as ""son-in-law eggs"".\n']","Boiled eggs are (deep-)fried until crispy on the outside, and then served sliced with a tangy sauce made from tamarind juice. The Thai name literally translates as ""son-in-law eggs"".",Shared dishes,Fried and stir-fried dishes
8,Kung thot krathiam phrik Thai,กุ้งทอดกระเทียมพริกไทย,Deep fried prawns with garlic and pepper,,,['Prawns fried with garlic and fresh peppercorns.\n'],Prawns fried with garlic and fresh peppercorns.,Shared dishes,Fried and stir-fried dishes
9,Mu krop phat kaphrao,หมูกรอบผัดกะเพรา,Stir-fried holy basil with cirspy pork,,,"['Slices of crispy grilled pork are stirred-fried with holy basil. This particular version is served with ', 'khai dao', ' (fried egg) which had the egg yolk removed before frying and then added on later.\n']",Slices of crispy grilled pork are stirred-fried with holy basil. This particular version is served with  khai dao  (fried egg) which had the egg yolk removed before frying and then added on later.,Shared dishes,Fried and stir-fried dishes
10,Mu phat sato,หมูผัดสะตอ,Stir-fired pork with stink beans,,,"['Sliced pork stir-fried with ', 'sato', ' (the beans of the ', 'Parkia speciosa', ', also known as ""stink bean"" or ""bitter bean""), onion, garlic, fish sauce, chili peppers, and oyster sauce.\n']","Sliced pork stir-fried with  sato  (the beans of the  Parkia speciosa , also known as ""stink bean"" or ""bitter bean""), onion, garlic, fish sauce, chili peppers, and oyster sauce.",Shared dishes,Fried and stir-fried dishes
11,Mu phat sato phak Tai,หมูผัดสะตอภาคใต้,,,South,"['A spicy, southern Thai, version of ', 'mu phat sato', ' where the pork and ""stink beans"" are fried with a copious amount of chili peppers and chili paste.\n']","A spicy, southern Thai, version of  mu phat sato  where the pork and ""stink beans"" are fried with a copious amount of chili peppers and chili paste.",Shared dishes,Fried and stir-fried dishes
12,Mu wan,หมูหวาน,,,South,['Sliced pork is simmered or fried with sugar and soy sauce until the sauce is reduced and coats the meat.\n'],Sliced pork is simmered or fried with sugar and soy sauce until the sauce is reduced and coats the meat.,Shared dishes,Fried and stir-fried dishes
13,No mai farang phat kung,หน่อไม้ฝรั่งผัดกุ้ง,Stir-fried asparagus with prawns,,,"['Green asparagus stir-fried with prawns, garlic, sliced chili peppers, fish sauce, and oyster sauce.\n']","Green asparagus stir-fried with prawns, garlic, sliced chili peppers, fish sauce, and oyster sauce.",Shared dishes,Fried and stir-fried dishes
14,Nuea phat bai yira,เนื้อผัดใบยี่หร่า,Stir-fried beef with,,,"['Besides beef and basil, other ingredients are garlic, chili peppers, light soy sauce, and fish sauce. African basil leaves have a slight anise taste.\n']","Besides beef and basil, other ingredients are garlic, chili peppers, light soy sauce, and fish sauce. African basil leaves have a slight anise taste.",Shared dishes,Fried and stir-fried dishes
15,Pak boong fai daeng,ผักบุ้งไฟแดง,Stir-fried morning-glory,,,"['Morning-glory (a.k.a. ', 'water spinach', ') stir fried with ', 'yellow bean sauce', ', garlic, and chili peppers. It is a very popular vegetable dish in Thailand.\n']","Morning-glory (a.k.a.  water spinach ) stir fried with  yellow bean sauce , garlic, and chili peppers. It is a very popular vegetable dish in Thailand.",Shared dishes,Fried and stir-fried dishes
16,Phak khana nam man hoi,ผักคะน้าน้ำมันหอย,Stir-fried Chinese kale with,,,"['Originally a Chinese dish, it has been adapted to Thai taste by adding fish sauce to the recipe and by omitting the ginger. Here it is made with fried ', 'shiitake', ' mushroom.\n']","Originally a Chinese dish, it has been adapted to Thai taste by adding fish sauce to the recipe and by omitting the ginger. Here it is made with fried  shiitake  mushroom.",Shared dishes,Fried and stir-fried dishes
17,Phat buap,ผัดบวบ,Stir-fried luffa,,,"['Stir-fried ', 'luffa', ' (sponge gourd) with pork/shrimp and egg or just egg.\n']",Stir-fried  luffa  (sponge gourd) with pork/shrimp and egg or just egg.,Shared dishes,Fried and stir-fried dishes
18,Phat dok hom,ผัดดอกหอม,Stir-fried onion flower stem with pork/liver,,,['Stir-fried onion flowers with pork and pork liver.\n'],Stir-fried onion flowers with pork and pork liver.,Shared dishes,Fried and stir-fried dishes
19,Phat khana mu krop,ผัดคะน้าหมูกรอบ,Stir-fried Chinese kale with crispy pork,,Central,"['Khana', ' (', 'gailan', ' or Chinese kale) is stir fried with crispy pork (', 'mu krop', '), garlic, oyster sauce, soy sauce, peppercorns, and (optionally) sliced chili peppers.\n']","Khana  ( gailan  or Chinese kale) is stir fried with crispy pork ( mu krop ), garlic, oyster sauce, soy sauce, peppercorns, and (optionally) sliced chili peppers.",Shared dishes,Fried and stir-fried dishes
20,Phat khanaeng mu,ผัดแขนงหมู,,,,"['Stir-fried ', 'khanaeng', ' with pork, garlic, oyster sauce, fish sauce, and white pepper. ', 'Khanaeng', ' are the sprouts of ', 'Chinese broccoli', ' and grow from the root after the main stem has been harvested. The taste is in between ', 'Brussels sprouts', ' and ', 'kale', ', and very sweet.\n']","Stir-fried  khanaeng  with pork, garlic, oyster sauce, fish sauce, and white pepper.  Khanaeng  are the sprouts of  Chinese broccoli  and grow from the root after the main stem has been harvested. The taste is in between  Brussels sprouts  and  kale , and very sweet.",Shared dishes,Fried and stir-fried dishes
21,Phat kaphrao,ผัดกะเพรา,Stir-fired minced meat with thai holy basil,,,"['Minced beef, pork, chicken, or whole prawns stir fried with Thai holy basil, chili peppers, garlic, and soy sauce.\n']","Minced beef, pork, chicken, or whole prawns stir fried with Thai holy basil, chili peppers, garlic, and soy sauce.",Shared dishes,Fried and stir-fried dishes
22,Phat naem sai khai,ผัดแหนมไส่ไข่,Stir-fired fermented pork with egg,,,"['Naem', ' sausage (made from fermented raw pork skin and sticky rice) stir fried with egg.\n']",Naem  sausage (made from fermented raw pork skin and sticky rice) stir fried with egg.,Shared dishes,Fried and stir-fried dishes
23,Phat no mai sai khai,ผัดหน่อไม้ใส่ไข่,Stir-fired bambbo shoot with egg,,,['Stir-fried bamboo shoots and egg.\n'],Stir-fried bamboo shoots and egg.,Shared dishes,Fried and stir-fried dishes
24,Phat phak khom,ผัดผักโขม,Stir-fried thai spinach with egg and minced pork,,,"['Thai spinach (', 'Amaranthus spinosus', '; Thai name: ', 'Phak khom nam', '; Thai script: ผักโขมหนาม) is often stir-fried with minced pork and egg.\n']",Thai spinach ( Amaranthus spinosus ; Thai name:  Phak khom nam ; Thai script: ผักโขมหนาม) is often stir-fried with minced pork and egg.,Shared dishes,Fried and stir-fried dishes
25,Phat phak ruam,ผัดผักรวม,Stir fried mixed vegetables,,,"['Stir fried combination of vegetables depending on availability and preference, but it is usually fried with ', 'oyster sauce', '.\n']","Stir fried combination of vegetables depending on availability and preference, but it is usually fried with  oyster sauce .",Shared dishes,Fried and stir-fried dishes
26,Phat phrik khing,ผัดพริก,Stir-fried pork with Thai chili peppers,,,"['Sliced pork fried with asparagus beans and kaffir lime leaves in a sweet chili paste. Sometimes red curry paste is used instead of the ', 'phrik khing', ' chili paste.\n']",Sliced pork fried with asparagus beans and kaffir lime leaves in a sweet chili paste. Sometimes red curry paste is used instead of the  phrik khing  chili paste.,Shared dishes,Fried and stir-fried dishes
27,Phat yot fak maeo,ผัดยอดฟักแม้ว,Stir-fried mountain melon greens,,,"['Yot sayongte, which is also known in Thailand as ', 'yot fak meao', ' (', 'yot', ' meaning ""', 'shoots', '""), are the young vines and leaves of a certain type of melon (', 'chayote', ', originally from Central America) which in Thailand grows mainly in the mountains up north. These greens have a very sweet taste and combine extremely well with oyster sauce.\n']","Yot sayongte, which is also known in Thailand as  yot fak meao  ( yot  meaning "" shoots ""), are the young vines and leaves of a certain type of melon ( chayote , originally from Central America) which in Thailand grows mainly in the mountains up north. These greens have a very sweet taste and combine extremely well with oyster sauce.",Shared dishes,Fried and stir-fried dishes
28,Phunim phat phong kari,ปูนิ่มผัดผงกะหรี่,Stir-fried soft-shelled crab with curry powder,,,"['Deep-fried pieces of ', 'soft-shell crab', ' which have been stir-fried with egg and curry powder.\n']",Deep-fried pieces of  soft-shell crab  which have been stir-fried with egg and curry powder.,Shared dishes,Fried and stir-fried dishes
29,Pla duk phat phet,ปลาดุกผัดเผ็ด,Stir-fired sliced catfish with red curry paste,,,"['Slices of catfish (most often pre-fried) are stir-fried in a sauce made with red curry paste. The ', 'pea eggplant', ' feature in this dish is for added taste and texture.\n']",Slices of catfish (most often pre-fried) are stir-fried in a sauce made with red curry paste. The  pea eggplant  feature in this dish is for added taste and texture.,Shared dishes,Fried and stir-fried dishes
30,Pla kaphong phat khuen chai,ปลากะพงผัดขึ้นฉ่าย,Stir-fried Chinese celery with barramundi,,,"['Barramundi', ' (often called ""sea bass"" in Thailand) stir-fried with Chinese celery, light soy sauce, garlic, ginger, and fermented soy beans.\n']","Barramundi  (often called ""sea bass"" in Thailand) stir-fried with Chinese celery, light soy sauce, garlic, ginger, and fermented soy beans.",Shared dishes,Fried and stir-fried dishes
31,Pla muek phat phrik phao,ปลาหมึกผัดพริกเผา,Stir-fried squid with chilli paste,,,"['Squid stir-fried with sweet and mild chilli paste (', 'nam phrik phao', '), onion, garlic, spring onion, and sliced large red chili peppers. Paprika can be used instead of chili peppers if a milder version is preferred.\n']","Squid stir-fried with sweet and mild chilli paste ( nam phrik phao ), onion, garlic, spring onion, and sliced large red chili peppers. Paprika can be used instead of chili peppers if a milder version is preferred.",Shared dishes,Fried and stir-fried dishes
32,Tap kai phat phrik sot,ตับไก่ผัดพริกสด,Stir-fried chicken liver with green peppers,,,"['Chicken liver fried with young (mainly green) chili peppers, light soy sauce, oyster sauce, onion, spring onion, black pepper, and garlic. Here it is served with rice and a fried egg (', 'khai dao', ').\n']","Chicken liver fried with young (mainly green) chili peppers, light soy sauce, oyster sauce, onion, spring onion, black pepper, and garlic. Here it is served with rice and a fried egg ( khai dao ).",Shared dishes,Fried and stir-fried dishes
33,Thua ngok pla khem,ถั่วงอกปลาเค็ม,Stir-fried bean sprouts with salted fish,,,"['A stir-fried dish of ', 'mung bean', ' sprouts, salted fish, chili peppers, and garlic.\n']","A stir-fried dish of  mung bean  sprouts, salted fish, chili peppers, and garlic.",Shared dishes,Fried and stir-fried dishes
0,Kai ho bai toei,ไก่ห่อใบเตย,Chicken wrapped in,,Central,"['Pieces of marinated chicken are wrapped in fragrant pandan leaves and then deep fried.', '[1]', '\n']",Pieces of marinated chicken are wrapped in fragrant pandan leaves and then deep fried. [1] ,Shared dishes,Deep-fried dishes
1,Kai thot takhrai,ไก่ทอดตะไคร้,Deep fried chicken and lemongrass,,,"['Pieces of chicken are deep fried together with finely chopped or shredded lemongrass, and served with a sweet chili sauce.\n']","Pieces of chicken are deep fried together with finely chopped or shredded lemongrass, and served with a sweet chili sauce.",Shared dishes,Deep-fried dishes
2,Kai thot,ไก่ทอด,Deep-fried chicken,,,"['The version of ', 'kai thot', ' as shown in the image is made in the Southern Thai manner, having been marinated with ', 'khamin', ' (', 'turmeric', ') and served with ', 'krueng thae', ' (crispy fried chopped garlic and turmeric) as a topping.\n']","The version of  kai thot  as shown in the image is made in the Southern Thai manner, having been marinated with  khamin  ( turmeric ) and served with  krueng thae  (crispy fried chopped garlic and turmeric) as a topping.",Shared dishes,Deep-fried dishes
3,Khaep mu,แคบหมู,Pork rinds,,,"['Deep fried pork skin that is eaten with ', 'nam phrik num', ' (grilled green chili dip) from Chiang Mai is renowned in the whole of Thailand.\n']",Deep fried pork skin that is eaten with  nam phrik num  (grilled green chili dip) from Chiang Mai is renowned in the whole of Thailand.,Shared dishes,Deep-fried dishes
4,Mu krop,หมูกรอบ,Crispy pork,,,['Cooked belly pork is first marinated and then deep fried until crispy. Often used sliced in vegetables stir fries.\n'],Cooked belly pork is first marinated and then deep fried until crispy. Often used sliced in vegetables stir fries.,Shared dishes,Deep-fried dishes
5,Mu thot krathiam,หมูทอดกระเทียม,,,,['Deep-fried pork and garlic\n'],Deep-fried pork and garlic,Shared dishes,Deep-fried dishes
6,Nang kai thot,หนังไก่ทอด,Crispy fried chicken skins,,,"['Crispy, deep-fried chicken skin that can be eaten as a snack or together with chili pastes or salads.\n']","Crispy, deep-fried chicken skin that can be eaten as a snack or together with chili pastes or salads.",Shared dishes,Deep-fried dishes
7,No yat sai thot,หน่อยัดไส้ทอด,,,North,['A northern Thai speciality of deep-fried bamboo shoots with a filling of minced pork.\n'],A northern Thai speciality of deep-fried bamboo shoots with a filling of minced pork.,Shared dishes,Deep-fried dishes
8,Pik kai sot sai thot,ปีกไก่สอดไส้ทอด,Stuffed chicken wings,,,"['Deep fried, partially deboned chicken wings, stuffed usually with minced pork.\n']","Deep fried, partially deboned chicken wings, stuffed usually with minced pork.",Shared dishes,Deep-fried dishes
9,Pla buang,ปลาบ้วง,,,North,"['Cuts of ', 'Giant snakehead', ' fish (', 'pla chado', ') are first salted and sun-dried for three days, and then deep-fried. This dish is somewhat similar to ', 'pla chado daet diao', ' from central Thailand but there the fish is only dried for only one day, making the taste less intense.\n']","Cuts of  Giant snakehead  fish ( pla chado ) are first salted and sun-dried for three days, and then deep-fried. This dish is somewhat similar to  pla chado daet diao  from central Thailand but there the fish is only dried for only one day, making the taste less intense.",Shared dishes,Deep-fried dishes
10,Pla krai thot krathiam,ปลากรายทอดกระเทียม,,,,"['Deep-fried ', 'pla krai', ' (""', 'Clown Knifefish', '"") and garlic. It is served with a spicy dipping sauce on the side made from coriander root, lime juice, fresh bird\'s eye chili peppers, garlic, sugar, and fish sauce.\n']","Deep-fried  pla krai  ("" Clown Knifefish "") and garlic. It is served with a spicy dipping sauce on the side made from coriander root, lime juice, fresh bird's eye chili peppers, garlic, sugar, and fish sauce.",Shared dishes,Deep-fried dishes
11,Pla nin thot samun phrai,ปลานิลทอดสมุนไพร,,,,"['Deep-fried ', 'pla nin', ' (""Nile Tilipia"") served with deep-fried herbs such as lemongrass, kaffir lime leaves, garlic, and fingerroot (', 'Boesenbergia rotunda', '). A chili-lime dip is served on the side as a condiment.\n']","Deep-fried  pla nin  (""Nile Tilipia"") served with deep-fried herbs such as lemongrass, kaffir lime leaves, garlic, and fingerroot ( Boesenbergia rotunda ). A chili-lime dip is served on the side as a condiment.",Shared dishes,Deep-fried dishes
12,Pla sam rot,ปลาสามรส,Three flavours fish,,Central,"['Deep fried fish with a sweet, tangy, and spicy tamarind sauce.\n']","Deep fried fish with a sweet, tangy, and spicy tamarind sauce.",Shared dishes,Deep-fried dishes
13,Pla thot,ปลาทอด,Deep-fried fish,,,"['A simple deep-fried fish, most often served with a spicy dipping sauce. The fish in this image is ', 'pla nin', ', a ', 'Nile Tilapia', '.\n']","A simple deep-fried fish, most often served with a spicy dipping sauce. The fish in this image is  pla nin , a  Nile Tilapia .",Shared dishes,Deep-fried dishes
14,Pla thot khamin,ปลาทอดขมิ้น,,,South,"['Typical for southern Thai cuisine, this deep-fried fish has first been marinated in a spice mixture which includes a large amount of ', 'turmeric', ' (', 'khamin', '). In addition, this particular version was topped with crispy deep-fried chopped garlic and turmeric. It is often served with raw vegetables on the side, and a spicy dipping sauce.\n']","Typical for southern Thai cuisine, this deep-fried fish has first been marinated in a spice mixture which includes a large amount of  turmeric  ( khamin ). In addition, this particular version was topped with crispy deep-fried chopped garlic and turmeric. It is often served with raw vegetables on the side, and a spicy dipping sauce.",Shared dishes,Deep-fried dishes
15,Pla wong thot,ปลาวงทอด,,,,"['Deep-fried ', 'pla wong', ' (literally meaning ""circle fish""): fish which have first been cut open, arranged into a circle and then sun-dried. Here it is served Southern Thai style with a spoonful of a deep-fried mix of minced garlic, galangal, and turmeric.\n']","Deep-fried  pla wong  (literally meaning ""circle fish""): fish which have first been cut open, arranged into a circle and then sun-dried. Here it is served Southern Thai style with a spoonful of a deep-fried mix of minced garlic, galangal, and turmeric.",Shared dishes,Deep-fried dishes
16,Pu cha,ปูจ๋า,Crab cakes,,,"['A mixture of cooked crab meat, pork, garlic, and pepper, fried deeply inside the crab shells and usually served with ', 'nam chim buoy', ' (', 'Thai', ': ', 'น้ำจิ้มบ๋วย', ', plum sauce). Instead of being fried in the crab shell, it is also sometimes served as patties.\n']","A mixture of cooked crab meat, pork, garlic, and pepper, fried deeply inside the crab shells and usually served with  nam chim buoy  ( Thai :  น้ำจิ้มบ๋วย , plum sauce). Instead of being fried in the crab shell, it is also sometimes served as patties.",Shared dishes,Deep-fried dishes
17,Sai mu thot,ไส้หมูทอด,,,,['Deep-fried pork intestines\n'],Deep-fried pork intestines,Shared dishes,Deep-fried dishes
